Yiyecek adı,Miktar (1 porsiyon) gram,Kap Numarası,Renk,"Kıvam ","Fiyat ",Enerji,Protein,"Yağ ",Karbonhidrat,Lif
Mandalina,150,3,turuncu,katı,e,75.3,1,0.5,15.2,2.6
Üzüm,150,3,yeşil,katı,e,104.3,1,0.4,22.9,2.4
Karpuz,150,3,kırmızı,katı,e,57.4,0.9,0.3,12.4,0.4
kavun,220,3,sarı,katı,e,110.4,1.8,0.2,24.8,1.5
Mürdüm Eriği,175,3,kırmızı,katı,e,75.7,1.1,0.2,15.4,4
Fıstıklı Tel Kadayıf,100,3,kahverengi,katı,e,332.7,3.8,12.6,50.6,1.5
Cevizli Kadayıf,100,3,kahverengi,katı,e,410.4,5.5,14.4,64.1,1.8
Lokma,90,3,kahverengi,katı,e,204.1,2,6,35.2,0.4
Şekerpare,100,3,kahverengi,katı,e,160.6,2.1,7,22.2,0.5
Revani,100,3,sarı,katı,e,291.1,3.6,7.1,52.5,1.6
Yoğurt Tatlısı,100,3,sarı,katı,e,149.1,3.4,1.7,29.7,1.3
Kalburabastı,150,3,kahverengi,katı,e,254.9,2.3,12.5,33.1,0.6
Baklava,150,3,kahverengi,katı,e,194.8,3.6,11.2,20,1
Ayva Tatlısı,150,3,kırmızı,katı,e,199.3,1.3,5.6,35,5.5
Balkabağı Tatlısı,100,3,turuncu,katı,e,136,1.6,3.7,23.7,1.8
Hamur Tatlısı,150,3,kahverengi,katı,e,226.6,3.8,2.7,46.2,0.8
Sütlü İrmik Tatlısı,100,3,beyaz,yumuşak,e,78.5,0.7,0.1,18.5,0.5
İrmik Helvası,100,3,kahverengi,yumuşak,e,309.8,3.5,12.9,44.6,2.2
Tahin Helvası,35,3,kahverengi,katı,e,151.9,3.6,7.5,19.8,1.4
Tulumba Tatlısı,90,3,kahverengi,katı,e,140.7,2.9,6.7,17.3,0.4
Muhallebi,200,3,beyaz,yumuşak,e,190.7,5.1,4.9,31.3,0.2
Sütlaç,200,3,beyaz,yumuşak,e,229.4,5,5.1,40.3,0.2
Keşkül,200,3,beyaz,yumuşak,e,173.5,2.1,4.9,30,1.2
Kazandibi,200,3,kahverengi,yumuşak,e,277.2,4.5,5.1,52.7,0.2
Aşure,200,3,kahverengi,yumuşak,e,369,7.5,5.2,71.3,8.3
Pelte,150,3,beyaz,yumuşak,e,301.1,0.9,0.2,71.7,0.4
Salatalık turşusu,100,3,yeşil,katı,e,6.9,0.3,0.1,0.9,0.4
Lahana Turşusu,150,3,beyaz,katı,e,23.7,2.1,0.4,0.9,3
Kakaolu Puding,150,3,kahverengi,yumuşak,e,164.2,4.2,4.7,26,0.1
